gene,synonyms
s1pr5,"['edg8', 's1p5', 'edg-8', 'sppr-1', 'sppr-2', 's1pr5']"
psmg3-as1,['psmg3-as1']
gprc5b,"['mlc3', 'raig2', 'raig-2', 'gprc5b']"
tmem139,['tmem139']
nupr1,"['p8', 'com1', 'nupr1']"
mpo,['mpo']
pkd1,"['pbp', 'pc1', 'pc-1', 'trpp1', 'pkd1']"
col5a3,['col5a3']
fign,['fign']
prc1-as1,['prc1-as1']
samd3,['samd3']
ddc,"['aadc', 'ddc']"
prkcq-as1,['prkcq-as1']
linc01599,"['c14orf183', 'linc01599']"
ptprz1,"['ptpz', 'hptpz', 'ptp18', 'ptprz', 'rptpb', 'hptpzeta', 'ptp-zeta', 'rptpbeta', 'phosphacan', 'r-ptp-zeta-2', 'ptprz1']"
nefm,"['nfm', 'nef3', 'nf-m', 'nefm']"
nxpe2,"['fam55b', 'nxpe2']"
duox1,"['lnox1', 'thox1', 'noxef1', 'duox1']"
hcg22,"['pbmucl2', 'hcg22']"
shroom4,"['shap', 'shrm4', 'mrxssds', 'shroom4']"
tac1,"['nk2', 'npk', 'nkna', 'tac2', 'hs.2563', 'tac1']"
tubb4a,"['dyt4', 'tubb4', 'beta-5', 'tubb4a']"
pilra,"['fdf03', 'pilra']"
lrrc37a,"['lrrc37', 'lrrc37a1', 'lrrc37a']"
tmem144,"['slc35g7', 'tmem144']"
zng1e,"['dc36', 'cbwd3', 'cbwd5', 'zng1e']"
nxph1,"['nph1', 'nbla00697', 'nxph1']"
mei1,"['hydm3', 'spata38', 'mei1']"
mettl16,"['mett10d', 'mettl16']"
npnt,"['poem', 'egfl6l', 'npnt']"
alpl,"['hops', 'hppa', 'hppc', 'hppi', 'hppo', 'tnap', 'tnalp', 'aptnap', 'tnsalp', 'ap-tnap', 'tns-alp', 'alpl']"
thumpd2,"['c2orf8', 'thumpd2']"
cbln2,['cbln2']
whrn,"['wi', 'cip98', 'ush2d', 'dfnb31', 'pdzd7b', 'whrn']"
dnajb4,"['djb4', 'hlj1', 'dnajw', 'cmyp21', 'dnajb4']"
lurap1l,"['lrap35b', 'ba3l8.2', 'c9orf150', 'hyst0841', 'lurap1l']"
znf365,"['uan', 'su48', 'znf365d', 'znf365']"
pcdh10,"['pcdh19', 'ol-pcdh', 'pcdh10']"
jade2,"['phf15', 'jade-2', 'jade2']"
hmgcll1,"['erchl', 'er-chl', 'ba418p12.1', 'hmgcll1']"
samd4a,"['smg', 'smga', 'samd4', 'smaug', 'smaug1', 'samd4a']"
vill,['vill']
sppl2c,"['imp5', 'sppl2c']"
cpt1a,"['cpt1', 'cpt1-l', 'l-cpt1', 'cpt1a']"
lama5,"['bbds2', 'nphs26', 'lama5']"
nefl,"['nfl', 'nf-l', 'nf68', 'cmt1f', 'cmt2e', 'cmtdig', 'ppp1r110', 'nefl']"
slc18a2,"['svat', 'svmt', 'vat2', 'vmat2', 'pkdys2', 'slc18a2']"
rpap1,['rpap1']
